Name,clusters,Sex
Fozie,0,F
Estoria,24,F
Alzada,2,F
Epsie,20,F
Oppie,17,F
Rozia,8,F
Rozie,15,F
Louelle,28,F
Blossie,19,F
Clevie,13,F
Cola,12,F
Elvera,24,F
Lutrelle,28,F
Marylee,28,F
Ludell,21,F
Beddie,13,F
Equilla,24,F
Jurell,7,F
Liller,21,F
Verdelle,6,F
Ezma,20,F
Bertice,19,F
Para,17,F
Madell,16,F
Berma,31,F
Aliene,2,F
Virdell,6,F
Loette,21,F
Faustine,14,F
Marrion,28,F
Mertice,28,F
Othella,33,F
Rebie,15,F
Mertis,16,F
Areatha,2,F
Genelle,14,F
Reaver,8,F
Arsie,31,F
Lonia,3,F
Margene,28,F
Ommie,17,F
Everlyn,24,F
Luretha,28,F
Coretha,19,F
Floyce,0,F
Jerusha,7,F
Francie,14,F
Waver,29,F
Vernease,6,F
Rethel,8,F
Merline,28,F
Oveline,33,F
France,0,F
Winnell,6,F
Wanell,6,F
Elene,20,F
Algia,31,F
Reathel,1,F
Annett,2,F
Dartha,5,F
Matline,28,F
Ellean,5,F
Wylean,6,F
Jenette,7,F
Lanora,21,F
Wonnie,29,F
Gennell,14,F
Melvis,16,F
Caldonia,10,F
Gaile,0,F
Jenell,7,F
Sheryll,27,F
Waltina,6,F
Racine,8,F
Jeannett,9,F
Linder,21,F
Voncille,6,F
Sherilyn,1,F
Nancey,16,F
Jeryl,11,F
Calamity,10,F
Sherion,27,F
Theresia,27,F
Evone,20,F
Joellen,7,F
Renna,8,F
Eydie,20,F
Cherlyn,19,F
Viki,29,F
Bridgitte,10,F
Jacqualine,9,F
Chrissie,19,F
Yvonnie,25,F
Deeann,5,F
Samanthia,1,F
Alfreida,10,F
Detria,5,F
Meshell,28,F
Sharolyn,1,F
Audery,2,F
Lorenda,28,F
Songa,30,F
Angila,2,F
Dodie,20,F
Valecia,6,F
Angla,31,F
Deirdra,24,F
Dodi,20,F
Felice,14,F
Marica,16,F
Sherlonda,1,F
Cutina,13,F
Tita,30,F
Meri,26,F
Katrinia,9,F
Saketha,27,F
Veronique,6,F
Cicily,13,F
Demetrica,10,F
Seandra,27,F
Amiee,31,F
Radiah,8,F
Tesa,30,F
Lakeisa,28,F
Monifa,16,F
Quovadis,1,F
Daffney,24,F
Latrica,28,F
Mendi,16,F
Pebbles,33,F
Tamicka,27,F
Anetra,2,F
Akina,31,F
Shekina,27,F
Tangee,30,F
Vontresa,6,F
Katasha,7,F
Kina,3,F
Lakeeta,28,F
Lakessa,28,F
Nafeesah,28,F
Prescilla,33,F
Shanica,27,F
Tameko,27,F
Jamilia,7,F
Lameka,21,F
Marinda,28,F
Saprina,27,F
Tamecia,27,F
Tangi,30,F
Akeisha,2,F
Aqueelah,10,F
Denika,5,F
Shwanda,27,F
Tanzania,27,F
Yolando,25,F
Santresa,1,F
Renota,8,F
Aneesah,2,F
Brittania,10,F
Chisa,13,F
Latrece,28,F
Reena,8,F
Shandria,1,F
Tashika,27,F
Shambrica,1,F
Casi,12,F
Lavita,21,F
Merideth,28,F
Nikesha,28,F
Nikiya,16,F
Yoshida,25,F
Sharonica,1,F
Micole,16,F
