Name,Sex,Origin
Fozie,F,Uknown
Estoria,F,Uknown
Alzada,F,Uknown
Epsie,F,Uknown
Oppie,F,Uknown
Rozia,F,Uknown
Rozie,F,Uknown
Louelle,F,Uknown
Blossie,F,Uknown
Clevie,F,Uknown
Cola,F,Italian
Elvera,F,German
Lutrelle,F,Uknown
Marylee,F,Latin
Ludell,F,Uknown
Beddie,F,Uknown
Equilla,F,Uknown
Jurell,F,Uknown
Liller,F,Uknown
Verdelle,F,Uknown
Ezma,F,Uknown
Bertice,F,Uknown
Para,F,Uknown
Madell,F,Uknown
Berma,F,Uknown
Aliene,F,Uknown
Virdell,F,Uknown
Loette,F,Uknown
Faustine,F,Latin
Marrion,F,Uknown
Mertice,F,Latin
Othella,F,Uknown
Rebie,F,Uknown
Mertis,F,Latin
Areatha,F,Uknown
Genelle,F,Uknown
Reaver,F,Uknown
Arsie,F,Uknown
Lonia,F,Uknown
Margene,F,Uknown
Ommie,F,Uknown
Everlyn,F,Uknown
Luretha,F,Uknown
Coretha,F,Uknown
Floyce,F,Uknown
Jerusha,F,Hebrew
Francie,F,Latin
Waver,F,Uknown
Vernease,F,Uknown
Rethel,F,Uknown
Merline,F,French
Oveline,F,Uknown
France,F,Latin
Winnell,F,Uknown
Wanell,F,Uknown
Elene,F,Greek
Algia,F,Uknown
Reathel,F,Uknown
Annett,F,British
Dartha,F,Uknown
Matline,F,Uknown
Ellean,F,Uknown
Wylean,F,Uknown
Jenette,F,Scottish
Lanora,F,Greek
Wonnie,F,Uknown
Gennell,F,Uknown
Melvis,F,Uknown
Caldonia,F,Uknown
Gaile,F,Hebrew
Jenell,F,Latin
Sheryll,F,Greek
Waltina,F,Latin
Racine,F,Uknown
Jeannett,F,Uknown
Linder,F,German
Voncille,F,Uknown
Sherilyn,F,American
Nancey,F,Hebrew
Jeryl,F,British
Calamity,F,Uknown
Sherion,F,Uknown
Theresia,F,Greek
Evone,F,Uknown
Joellen,F,French
Renna,F,Latin
Eydie,F,British
Cherlyn,F,Greek
Viki,F,Latin
Bridgitte,F,Gaelic
Jacqualine,F,French
Chrissie,F,Latin
Yvonnie,F,Uknown
Deeann,F,British
Samanthia,F,Uknown
Alfreida,F,Uknown
Detria,F,Greek
Meshell,F,Uknown
Sharolyn,F,Hebrew
Audery,F,Uknown
Lorenda,F,Uknown
Songa,F,Uknown
Angila,F,Greek
Dodie,F,Hebrew
Valecia,F,Uknown
Angla,F,Greek
Deirdra,F,Irish
Dodi,F,Hebrew
Felice,F,Latin
Marica,F,Uknown
Sherlonda,F,Uknown
Cutina,F,Uknown
Tita,F,Mexican
Meri,F,Uknown
Katrinia,F,Uknown
Saketha,F,Uknown
Veronique,F,Latin
Cicily,F,Welsh
Demetrica,F,Uknown
Seandra,F,Uknown
Amiee,F,Latin
Radiah,F,Uknown
Tesa,F,Greek
Lakeisa,F,Uknown
Monifa,F,Uknown
Quovadis,F,Uknown
